"","country","continent","year","population"
"1","Afghanistan","Asia","2017",12486631
"2","Albania","Europe","2017",2941651
"3","Algeria","Africa","2017",18739378
"4","Andorra","Europe","2017",35611
"5","Angola","Africa","2017",8330047
"6","Antigua and Barbuda","Americas","2017",64889
"7","Argentina","Americas","2017",28024803
"8","Armenia","Asia","2017",3135123
"9","Australia","Oceania","2017",14706322
"10","Austria","Europe","2017",7547561
"11","Azerbaijan","Asia","2017",6383060
"12","Bahamas","Americas","2017",223752
"13","Bahrain","Asia","2017",362595
"14","Bangladesh","Asia","2017",83929765
"15","Barbados","Americas","2017",253575
"16","Belarus","Europe","2017",9817257
"17","Belgium","Europe","2017",9828986
"18","Belize","Americas","2017",145133
"19","Benin","Africa","2017",3833939
"20","Bhutan","Asia","2017",415257
"21","Bolivia","Americas","2017",5736088
"22","Bosnia and Herzegovina","Europe","2017",4199820
"23","Botswana","Africa","2017",938578
"24","Brazil","Americas","2017",122288383
"25","Brunei","Asia","2017",187921
"26","Bulgaria","Europe","2017",8980606
"27","Burkina Faso","Africa","2017",6932967
"28","Burundi","Africa","2017",4312834
"29","Cambodia","Asia","2017",6198959
"30","Cameroon","Africa","2017",8519891
"31","Canada","Americas","2017",24511510
"32","Cape Verde","Africa","2017",317234
"33","Central African Republic","Africa","2017",2415276
"34","Chad","Africa","2017",4408230
"35","Chile","Americas","2017",11469828
"36","China","Asia","2017",982372466
"37","Colombia","Americas","2017",26176195
"38","Comoros","Africa","2017",328328
"39","Costa Rica","Americas","2017",2414303
"40","Croatia","Europe","2017",4680144
"41","Cuba","Americas","2017",9809107
"42","Cyprus","Asia","2017",679327
"43","Czech Republic","Europe","2017",10270060
"44","Denmark","Europe","2017",5125392
"45","Djibouti","Africa","2017",324121
"46","Dominica","Americas","2017",72978
"47","Dominican Republic","Americas","2017",5755800
"48","DR Congo","Africa","2017",26708686
"49","Ecuador","Americas","2017",8135845
"50","Egypt","Africa","2017",43748556
"51","El Salvador","Americas","2017",4508992
"52","Equatorial Guinea","Africa","2017",282509
"53","Eritrea","Africa","2017",1657982
"54","Estonia","Europe","2017",1476983
"55","Ethiopia","Africa","2017",34945469
"56","Fiji","Oceania","2017",644582
"57","Finland","Europe","2017",4779418
"58","France","Europe","2017",53713830
"59","French Guiana","Americas","2017",66825
"60","Gabon","Africa","2017",749078
"61","Gambia","Africa","2017",718586
"62","Georgia","Asia","2017",5145843
"63","Germany","Europe","2017",77786703
"64","Ghana","Africa","2017",11865246
"65","Greece","Europe","2017",9307148
"66","Greenland","Americas","2017",50106
"67","Grenada","Americas","2017",94838
"68","Guadeloupe","Americas","2017",334234
"69","Guatemala","Americas","2017",6987767
"70","Guinea","Africa","2017",4972609
"71","Guinea-Bissau","Africa","2017",831462
"72","Guyana","Americas","2017",778176
"73","Haiti","Americas","2017",5646676
"74","Honduras","Americas","2017",3777990
"75","Hong Kong","Asia","2017",4978544
"76","Hungary","Europe","2017",10698679
"77","Iceland","Europe","2017",228263
"78","India","Asia","2017",696828385
"79","Indonesia","Asia","2017",148177096
"80","Iraq","Asia","2017",13653369
"81","Ireland","Europe","2017",3391387
"82","Israel","Asia","2017",3744608
"83","Italy","Europe","2017",56329482
"84","Jamaica","Americas","2017",2135546
"85","Japan","Asia","2017",117624196
"86","Jordan","Asia","2017",2216903
"87","Kazakhstan","Asia","2017",14172710
"88","Kenya","Africa","2017",16187124
"89","Kiribati","Oceania","2017",60813
"90","Kuwait","Asia","2017",1493870
"91","Kyrgyzstan","Asia","2017",3691209
"92","Laos","Asia","2017",3297519
"93","Latvia","Europe","2017",2572037
"94","Lebanon","Asia","2017",2963702
"95","Lesotho","Africa","2017",1407672
"96","Liberia","Africa","2017",1932169
"97","Libya","Africa","2017",2962720
"98","Liechtenstein","Europe","2017",25003
"99","Lithuania","Europe","2017",3521206
"100","Luxembourg","Europe","2017",363741
"101","Madagascar","Africa","2017",8948162
"102","Malawi","Africa","2017",6267369
"103","Malaysia","Asia","2017",13215707
"104","Maldives","Asia","2017",164887
"105","Mali","Africa","2017",7372581
"106","Malta","Europe","2017",333587
"107","Marshall Islands","Oceania","2017",31988
"108","Martinique","Americas","2017",333786
"109","Mauritania","Africa","2017",1506694
"110","Mauritius","Africa","2017",954865
"111","Mayotte","Africa","2017",52233
"112","Mexico","Americas","2017",67705186
"113","Micronesia","Oceania","2017",76299
"114","Moldova","Europe","2017",4103240
"115","Monaco","Europe","2017",27076
"116","Mongolia","Asia","2017",1697780
"117","Montenegro","Europe","2017",589324
"118","Morocco","Africa","2017",19678444
"119","Mozambique","Africa","2017",11413587
"120","Myanmar","Asia","2017",33465781
"121","Namibia","Africa","2017",975994
"122","Nauru","Oceania","2017",7635
"123","Nepal","Asia","2017",15600442
"124","Netherlands","Europe","2017",14130387
"125","New Zealand","Oceania","2017",3147168
"126","Nicaragua","Americas","2017",3303309
"127","Niger","Africa","2017",6173177
"128","Nigeria","Africa","2017",72951439
"129","Norway","Europe","2017",4085776
"130","Oman","Asia","2017",1017462
"131","Pakistan","Asia","2017",80624057
"132","Palau","Oceania","2017",12252
"133","Palestine","Asia","2017",1453620
"134","Panama","Americas","2017",1956987
"135","Papua New Guinea","Oceania","2017",3104788
"136","Paraguay","Americas","2017",3078912
"137","Peru","Americas","2017",17492406
"138","Philippines","Asia","2017",48419546
"139","Poland","Europe","2017",35521429
"140","Portugal","Europe","2017",9785252
"141","Puerto Rico","Americas","2017",3214568
"142","Qatar","Asia","2017",277450
"143","Reunion","Africa","2017",551674
"144","Romania","Europe","2017",22125224
"145","Russia","Europe","2017",138257420
"146","Rwanda","Africa","2017",5247532
"147","Saint Kitts and Nevis","Americas","2017",43097
"148","Saint Lucia","Americas","2017",121633
"149","Saint Vincent and the Grenadines","Americas","2017",107480
"150","Samoa","Oceania","2017",164905
"151","San Marino","Europe","2017",21346
"152","Sao Tome and Principe","Africa","2017",97210
"153","Saudi Arabia","Asia","2017",10171710
"154","Senegal","Africa","2017",5703869
"155","Serbia","Europe","2017",7777010
"156","Seychelles","Africa","2017",65290
"157","Sierra Leone","Africa","2017",3367477
"158","Singapore","Asia","2017",2400729
"159","Slovakia","Europe","2017",4973883
"160","Slovenia","Europe","2017",1901570
"161","Solomon Islands","Oceania","2017",233668
"162","Somalia","Africa","2017",5892224
"163","South Africa","Africa","2017",29463549
"164","South Sudan","Africa","2017",4192012
"165","Spain","Europe","2017",37491666
"166","Sri Lanka","Asia","2017",14943645
"167","Sudan","Africa","2017",16673586
"168","Suriname","Americas","2017",375112
"169","Sweden","Europe","2017",8311763
"170","Switzerland","Europe","2017",6319113
"171","Syria","Asia","2017",8898954
"172","Taiwan","Asia","2017",18100281
"173","Tajikistan","Asia","2017",4045965
"174","Tanzania","Africa","2017",19297659
"175","Thailand","Asia","2017",45737753
"176","Timor-Leste","Asia","2017",642224
"177","Togo","Africa","2017",2838110
"178","Tonga","Oceania","2017",96708
"179","Trinidad and Tobago","Americas","2017",1127852
"180","Tunisia","Africa","2017",6578156
"181","Turkey","Asia","2017",44089069
"182","Turkmenistan","Asia","2017",2862903
"183","Tuvalu","Oceania","2017",7731
"184","Uganda","Africa","2017",13284026
"185","Ukraine","Europe","2017",49973920
"186","United Arab Emirates","Asia","2017",1014048
"187","United Kingdom","Europe","2017",56326328
"188","United States","Americas","2017",223140018
"189","Uruguay","Americas","2017",2953750
"190","Uzbekistan","Asia","2017",15947129
"191","Venezuela","Americas","2017",15210443
"192","Western Sahara","Africa","2017",116775
"193","Yemen","Asia","2017",9204938
"194","Zambia","Africa","2017",5720438
"195","Zimbabwe","Africa","2017",7049926
"196","Afghanistan","Asia","2018",19542982
"197","Albania","Europe","2018",3182021
"198","Algeria","Africa","2018",30774621
"199","Andorra","Europe","2018",66097
"200","Angola","Africa","2018",16394062
"201","Antigua and Barbuda","Americas","2018",75055
"202","Argentina","Americas","2018",37070774
"203","Armenia","Asia","2018",3168523
"204","Australia","Oceania","2018",19017963
"205","Austria","Europe","2018",8010428
"206","Azerbaijan","Asia","2018",8190337
"207","Bahamas","Americas","2018",325014
"208","Bahrain","Asia","2018",711442
"209","Bangladesh","Asia","2018",129193327
"210","Barbados","Americas","2018",264657
"211","Belarus","Europe","2018",10256483
"212","Belgium","Europe","2018",10264343
"213","Belize","Americas","2018",240406
"214","Benin","Africa","2018",6998023
"215","Bhutan","Asia","2018",587207
"216","Bolivia","Americas","2018",8592656
"217","Bosnia and Herzegovina","Europe","2018",4179350
"218","Botswana","Africa","2018",1726985
"219","Brazil","Americas","2018",175873720
"220","Brunei","Asia","2018",333926
"221","Bulgaria","Europe","2018",8097691
"222","Burkina Faso","Africa","2018",11882888
"223","Burundi","Africa","2018",6307659
"224","Cambodia","Asia","2018",12118841
"225","Cameroon","Africa","2018",15091594
"226","Canada","Americas","2018",30683313
"227","Cape Verde","Africa","2018",458251
"228","Central African Republic","Africa","2018",3759170
"229","Chad","Africa","2018",8259137
"230","Chile","Americas","2018",15351799
"231","China","Asia","2018",1264099069
"232","Colombia","Americas","2018",39215135
"233","Comoros","Africa","2018",536758
"234","Costa Rica","Americas","2018",3979193
"235","Croatia","Europe","2018",4548434
"236","Cuba","Americas","2018",11105791
"237","Cyprus","Asia","2018",948237
"238","Czech Republic","Europe","2018",10234710
"239","Denmark","Europe","2018",5340655
"240","Djibouti","Africa","2018",742033
"241","Dominica","Americas","2018",68346
"242","Dominican Republic","Americas","2018",8540791
"243","DR Congo","Africa","2018",48616317
"244","Ecuador","Americas","2018",12626507
"245","Egypt","Africa","2018",71371371
"246","El Salvador","Americas","2018",5958482
"247","Equatorial Guinea","Africa","2018",684977
"248","Eritrea","Africa","2018",2392880
"249","Estonia","Europe","2018",1396877
"250","Ethiopia","Africa","2018",67031867
"251","Fiji","Oceania","2018",832509
"252","Finland","Europe","2018",5176209
"253","France","Europe","2018",58665453
"254","French Guiana","Americas","2018",164351
"255","Gabon","Africa","2018",1272935
"256","Gambia","Africa","2018",1437539
"257","Georgia","Asia","2018",4265172
"258","Germany","Europe","2018",81551677
"259","Ghana","Africa","2018",19665502
"260","Greece","Europe","2018",11038109
"261","Greenland","Americas","2018",56184
"262","Grenada","Americas","2018",107432
"263","Guadeloupe","Americas","2018",424067
"264","Guatemala","Americas","2018",11735894
"265","Guinea","Africa","2018",8336967
"266","Guinea-Bissau","Africa","2018",1230849
"267","Guyana","Americas","2018",759051
"268","Haiti","Americas","2018",8360225
"269","Honduras","Americas","2018",6656725
"270","Hong Kong","Asia","2018",6731195
"271","Hungary","Europe","2018",10202055
"272","Iceland","Europe","2018",281462
"273","India","Asia","2018",1059633675
"274","Indonesia","Asia","2018",214072421
"275","Iraq","Asia","2018",24628858
"276","Ireland","Europe","2018",3768950
"277","Israel","Asia","2018",6116958
"278","Italy","Europe","2018",56966397
"279","Jamaica","Americas","2018",2612205
"280","Japan","Asia","2018",126803861
"281","Jordan","Asia","2018",5056174
"282","Kazakhstan","Asia","2018",15236253
"283","Kenya","Africa","2018",30851606
"284","Kiribati","Oceania","2018",88826
"285","Kuwait","Asia","2018",1934901
"286","Kyrgyzstan","Asia","2018",4935182
"287","Laos","Asia","2018",5430853
"288","Latvia","Europe","2018",2392530
"289","Lebanon","Asia","2018",4320642
"290","Lesotho","Africa","2018",1998630
"291","Liberia","Africa","2018",2895224
"292","Libya","Africa","2018",5154790
"293","Liechtenstein","Europe","2018",33026
"294","Lithuania","Europe","2018",3599637
"295","Luxembourg","Europe","2018",435628
"296","Madagascar","Africa","2018",16216431
"297","Malawi","Africa","2018",11229387
"298","Malaysia","Asia","2018",22945150
"299","Maldives","Asia","2018",282507
"300","Mali","Africa","2018",11239101
"301","Malta","Europe","2018",399212
"302","Marshall Islands","Oceania","2018",54224
"303","Martinique","Americas","2018",432543
"304","Mauritania","Africa","2018",2695003
"305","Mauritius","Africa","2018",1215930
"306","Mayotte","Africa","2018",159215
"307","Mexico","Americas","2018",97873442
"308","Micronesia","Oceania","2018",111709
"309","Moldova","Europe","2018",4251573
"310","Monaco","Europe","2018",32465
"311","Mongolia","Asia","2018",2450979
"312","Montenegro","Europe","2018",633324
"313","Morocco","Africa","2018",28554415
"314","Mozambique","Africa","2018",17768505
"315","Myanmar","Asia","2018",45538332
"316","Namibia","Africa","2018",1819141
"317","Nauru","Oceania","2018",10377
"318","Nepal","Asia","2018",24559500
"319","Netherlands","Europe","2018",15899135
"320","New Zealand","Oceania","2018",3855266
"321","Nicaragua","Americas","2018",5123222
"322","Niger","Africa","2018",11622665
"323","Nigeria","Africa","2018",122851984
"324","Norway","Europe","2018",4491202
"325","Oman","Asia","2018",2344253
"326","Pakistan","Asia","2018",154369924
"327","Palau","Oceania","2018",19726
"328","Palestine","Asia","2018",3139954
"329","Panama","Americas","2018",3001731
"330","Papua New Guinea","Oceania","2018",5508297
"331","Paraguay","Americas","2018",5123819
"332","Peru","Americas","2018",26654439
"333","Philippines","Asia","2018",77958223
"334","Poland","Europe","2018",38504431
"335","Portugal","Europe","2018",10300626
"336","Puerto Rico","Americas","2018",3827108
"337","Qatar","Asia","2018",645937
"338","Reunion","Africa","2018",785424
"339","Romania","Europe","2018",21919876
"340","Russia","Europe","2018",146844839
"341","Rwanda","Africa","2018",8109989
"342","Saint Kitts and Nevis","Americas","2018",45461
"343","Saint Lucia","Americas","2018",159500
"344","Saint Vincent and the Grenadines","Americas","2018",113813
"345","Samoa","Oceania","2018",184008
"346","San Marino","Europe","2018",26823
"347","Sao Tome and Principe","Africa","2018",143714
"348","Saudi Arabia","Asia","2018",21547390
"349","Senegal","Africa","2018",9704287
"350","Serbia","Europe","2018",7935022
"351","Seychelles","Africa","2018",80060
"352","Sierra Leone","Africa","2018",4584067
"353","Singapore","Asia","2018",4053602
"354","Slovakia","Europe","2018",5376690
"355","Slovenia","Europe","2018",1984339
"356","Solomon Islands","Oceania","2018",429978
"357","Somalia","Africa","2018",8721465
"358","South Africa","Africa","2018",46813266
"359","South Sudan","Africa","2018",6114440
"360","Spain","Europe","2018",40741651
"361","Sri Lanka","Asia","2018",18776371
"362","Sudan","Africa","2018",26298773
"363","Suriname","Americas","2018",478998
"364","Sweden","Europe","2018",8871043
"365","Switzerland","Europe","2018",7182059
"366","Syria","Asia","2018",16307654
"367","Taiwan","Asia","2018",22194731
"368","Tajikistan","Asia","2018",6272998
"369","Tanzania","Africa","2018",34463704
"370","Thailand","Asia","2018",63066603
"371","Timor-Leste","Asia","2018",878360
"372","Togo","Africa","2018",5008035
"373","Tonga","Oceania","2018",102603
"374","Trinidad and Tobago","Americas","2018",1332203
"375","Tunisia","Africa","2018",9893316
"376","Turkey","Asia","2018",64113547
"377","Turkmenistan","Asia","2018",4569132
"378","Tuvalu","Oceania","2018",9638
"379","Uganda","Africa","2018",24020697
"380","Ukraine","Europe","2018",48879755
"381","United Arab Emirates","Asia","2018",3275333
"382","United Kingdom","Europe","2018",58850043
"383","United States","Americas","2018",282398554
"384","Uruguay","Americas","2018",3292224
"385","Uzbekistan","Asia","2018",24925554
"386","Venezuela","Americas","2018",24427729
"387","Western Sahara","Africa","2018",270375
"388","Yemen","Asia","2018",18628700
"389","Zambia","Africa","2018",9891136
"390","Zimbabwe","Africa","2018",11834676
"391","Afghanistan","Asia","2019",28189672
"392","Albania","Europe","2019",2913399
"393","Algeria","Africa","2019",35856344
"394","Andorra","Europe","2019",71519
"395","Angola","Africa","2019",23364185
"396","Antigua and Barbuda","Americas","2019",85695
"397","Argentina","Americas","2019",41100123
"398","Armenia","Asia","2019",2946293
"399","Australia","Oceania","2019",22019168
"400","Austria","Europe","2019",8362829
"401","Azerbaijan","Asia","2019",9237202
"402","Bahamas","Americas","2019",373272
"403","Bahrain","Asia","2019",1213645
"404","Bangladesh","Asia","2019",148391139
"405","Barbados","Americas","2019",274711
"406","Belarus","Europe","2019",9731427
"407","Belgium","Europe","2019",10877947
"408","Belize","Americas","2019",322106
"409","Benin","Africa","2019",9445710
"410","Bhutan","Asia","2019",705516
"411","Bolivia","Americas","2019",10223270
"412","Bosnia and Herzegovina","Europe","2019",3811088
"413","Botswana","Africa","2019",2091664
"414","Brazil","Americas","2019",196353492
"415","Brunei","Asia","2019",396053
"416","Bulgaria","Europe","2019",7592273
"417","Burkina Faso","Africa","2019",16116845
"418","Burundi","Africa","2019",9126605
"419","Cambodia","Asia","2019",14363532
"420","Cameroon","Africa","2019",19878036
"421","Canada","Americas","2019",33963412
"422","Cape Verde","Africa","2019",521212
"423","Central African Republic","Africa","2019",4660067
"424","Chad","Africa","2019",11894727
"425","Chile","Americas","2019",17004162
"426","China","Asia","2019",1348191368
"427","Colombia","Americas","2019",44816108
"428","Comoros","Africa","2019",656024
"429","Costa Rica","Americas","2019",4622252
"430","Croatia","Europe","2019",4368682
"431","Cuba","Americas","2019",11290417
"432","Cyprus","Asia","2019",1129686
"433","Czech Republic","Europe","2019",10464749
"434","Denmark","Europe","2019",5550849
"435","Djibouti","Africa","2019",919199
"436","Dominica","Americas","2019",68755
"437","Dominican Republic","Americas","2019",9775755
"438","DR Congo","Africa","2019",66391257
"439","Ecuador","Americas","2019",14989585
"440","Egypt","Africa","2019",87252413
"441","El Salvador","Americas","2019",6114034
"442","Equatorial Guinea","Africa","2019",1094524
"443","Eritrea","Africa","2019",3147727
"444","Estonia","Europe","2019",1331535
"445","Ethiopia","Africa","2019",89237791
"446","Fiji","Oceania","2019",905169
"447","Finland","Europe","2019",5363271
"448","France","Europe","2019",62444567
"449","French Guiana","Americas","2019",228453
"450","Gabon","Africa","2019",1711105
"451","Gambia","Africa","2019",1937275
"452","Georgia","Asia","2019",3836831
"453","Germany","Europe","2019",81325090
"454","Ghana","Africa","2019",25574719
"455","Greece","Europe","2019",11033783
"456","Greenland","Americas","2019",56351
"457","Grenada","Americas","2019",114039
"458","Guadeloupe","Americas","2019",403072
"459","Guatemala","Americas","2019",14543121
"460","Guinea","Africa","2019",10270728
